what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1428553509388
java.specification.name,sysinfo,,,"Java Platform API Specification",1428553509388
java.specification.vendor,sysinfo,,,"Oracle Corporation",1428553509388
java.specification.version,sysinfo,,,"1.7",1428553509388
java.vendor,sysinfo,,,"Oracle Corporation",1428553509388
java.version,sysinfo,,,"1.7.0_75",1428553509388
java.vm.info,sysinfo,,,"mixed mode",1428553509388
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1428553509388
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1428553509388
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1428553509388
java.vm.specification.version,sysinfo,,,"1.7",1428553509388
java.vm.vendor,sysinfo,,,"Oracle Corporation",1428553509388
java.vm.version,sysinfo,,,"24.75-b04",1428553509388
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1428553509393
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1428553509765
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1428553509803
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1428553509809
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1428553510074
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1428553510146
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1428553510154
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1428553510165
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1428553510406
error,log,,,"Unhandled event loop exception",1428553510547
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1428553510731
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1428553510748
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1428553510761
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1428553510826
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1428553510842
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1428553510854
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1428553510868
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1428553510874
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1428553545889
